name,online_order,book_table,rate,votes,location,rest_type,cuisines,price
Chai Point,1,0,4.0,132,Residency Road,Quick Bites,Cafe,250
Jaisalmer,0,0,3.7,57,St. Marks Road,Casual Dining,North Indian,700
Sunehri,0,0,3.8,67,Richmond Road,Casual Dining,South Indian,500
Page 3 Multicuisine Restaurant & Bar,0,0,3.5,14,Residency Road,Bar,North Indian,800
Ottimo - ITC Gardenia,0,1,4.3,164,Richmond Road,Casual Dining,Continental,3000
Sri Vishnu Bhavan Veg,0,0,0.0,0,Shanti Nagar,Casual Dining,South Indian,400
MM Bar & Restaurant,0,0,3.4,6,Shivajinagar,Bar,South Indian,700
Coco Grove Beer Cafe,0,0,3.8,150,Church Street,Casual Dining,Continental,800
Manhattan,0,0,0.0,0,Lavelle Road,Bar,Continental,1000
Mehendi,0,0,0.0,0,Residency Road,Casual Dining,North Indian,700
The Lounge - The Chancery Pavilion,0,0,3.7,34,Residency Road,Casual Dining,Asian,2000
Alibi - Maya International Hotel,0,0,1.8,224,Church Street,Casual Dining,North Indian,1200
Unicorn Bar & Restaurant,0,0,3.9,119,Infantry Road,Casual Dining,Seafood,800
Murugan Mess,0,0,3.3,7,Shivajinagar,Casual Dining,South Indian,150
Luscious - St. Mark's Hotel,0,0,3.7,11,St. Marks Road,Casual Dining,North Indian,1200
Lifetree CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,0,0,3.4,10,Richmond Road,Casual Dining,North Indian,700
The Perfect Stop,0,0,3.6,11,Shanti Nagar,Quick Bites,Continental,300
Taste Of Kerala,0,0,2.2,48,Residency Road,Casual Dining,South Indian,600
The Charlton Bar,0,0,3.3,4,Residency Road,Bar,Asian,1000
Amnesia - The Poolside Bar,0,0,3.7,15,Residency Road,Casual Dining,North Indian,2000
Engine,0,0,3.3,16,Ulsoor,Casual Dining,South Indian,950
Dasaprakash Cafe,0,0,3.2,10,MG Road,Cafe,Cafe,400
JCL Canteen,0,0,0.0,0,Shivajinagar,Casual Dining,South Indian,100
Lotus Royal Cuisine,0,0,3.3,13,Church Street,Casual Dining,North Indian,750
Grill 99 - The Ritz-Carlton,0,0,3.5,12,Residency Road,Casual Dining,Continental,4000
Green Paprika,0,0,3.3,7,Church Street,Casual Dining,North Indian,1000
Zuiqa Taste,0,0,0.0,0,Richmond Road,Quick Bites,North Indian,300
Karavali Lunch Home,0,0,0.0,0,Shanti Nagar,Casual Dining,South Indian,300
Soul City,0,0,3.8,217,Lavelle Road,Casual Dining,Continental,2000
Ozaa,0,0,3.6,31,Lavelle Road,Casual Dining,Continental,1700
Italia - The Park Bangalore,0,0,3.7,82,MG Road,Casual Dining,Continental,2500
Siddiqu Kabab Center,0,0,4.5,174,Richmond Road,Quick Bites,North Indian,250
Indian Coffee House,0,0,4.0,1217,Church Street,Quick Bites,South Indian,200
Siddappa Hotel,0,0,4.1,274,Richmond Road,Quick Bites,South Indian,150
Kentacky Chicken Corner,0,0,4.0,102,Richmond Road,Quick Bites,South Indian,300
Juice Junction,1,0,4.0,101,St. Marks Road,Quick Bites,Cafe,150
Nisarga Garden,0,0,4.0,89,Infantry Road,Quick Bites,South Indian,300
Amdo's Corner Tibetan Foods,0,0,4.0,47,Richmond Road,Quick Bites,Asian,250
Sri Saravana Bhavan,0,0,3.9,75,Commercial Street,Quick Bites,South Indian,150
Vishnu Sagar,0,0,3.0,33,Commercial Street,Quick Bites,South Indian,400
Mathsya Darshini,0,0,3.2,57,Lavelle Road,Quick Bites,Seafood,350
Shivajinagar Gardi Ustad Pehlwan Kale Bhai Biryani,0,0,3.6,26,Shivajinagar,Quick Bites,South Indian,300
Hotel Ajantha,0,0,3.9,77,MG Road,Quick Bites,South Indian,200
Goli Vada Pav No. 1,0,0,3.5,18,Residency Road,Quick Bites,Fast Food,200
Tayabbs,0,0,3.7,70,Ulsoor,Quick Bites,Fast Food,500
Cafe Sandarshini,0,0,0.0,0,Shanti Nagar,Quick Bites,South Indian,200
Five Star Chicken,1,0,3.4,26,Ulsoor,Quick Bites,Fast Food,200
Hotel Metropole,0,0,2.9,18,Shivajinagar,Quick Bites,North Indian,400
Faasos,1,0,3.9,252,Residency Road,Quick Bites,North Indian,500
Vasudev Adiga's,0,0,3.7,58,Church Street,Quick Bites,South Indian,250
Ram Prasad Veg,0,0,3.6,14,Shivajinagar,Quick Bites,South Indian,150
North Indian Hotel,0,0,3.5,11,Shivajinagar,Quick Bites,North Indian,200
Indira Darshini,1,0,3.5,21,Infantry Road,Quick Bites,South Indian,200
Khan Saheb Grills and Rolls,1,0,3.4,25,Langford Town,Quick Bites,Fast Food,350
Bettaiah Military Hotel,0,0,3.3,4,Shanti Nagar,Quick Bites,South Indian,250
Maaheshwari Chaat Wala,0,0,3.9,27,Ulsoor,Quick Bites,Fast Food,100
Sri Rama Coffee Shop,0,0,0.0,0,Shivajinagar,Quick Bites,South Indian,100
New Star Hotel,0,0,0.0,0,Shivajinagar,Quick Bites,North Indian,200
A1 Ambur Biryani,0,0,0.0,0,Shivajinagar,Quick Bites,South Indian,200
Radhika Veg Delite,0,0,0.0,0,Shivajinagar,Quick Bites,South Indian,400
Bharani's,0,0,0.0,0,MG Road,Quick Bites,South Indian,300
Svi Food And Juice,0,0,0.0,0,Ulsoor,Quick Bites,North Indian,250
Lemon Rice,0,0,3.4,12,Ulsoor,Quick Bites,South Indian,100
Bhaiyaji Food Court,0,0,3.3,6,MG Road,Quick Bites,North Indian,300
Sri Krishna Upahar,0,0,0.0,0,Shivajinagar,Quick Bites,South Indian,200
Vinay Upahar,0,0,0.0,0,Shivajinagar,Quick Bites,South Indian,200
Maiera Siddiqha Kabab Centre,0,0,0.0,0,Shivajinagar,Quick Bites,North Indian,200
Vishwamitra Veg Restaurant,0,0,0.0,0,Shivajinagar,Quick Bites,South Indian,200
Jyothi Prakash,0,0,0.0,0,Richmond Road,Quick Bites,South Indian,150
Shalimar Chaska,0,0,0.0,0,Richmond Road,Quick Bites,Fast Food,200
Sri Krishna The Dhaba,0,0,0.0,0,Richmond Road,Quick Bites,North Indian,200
Lakshmi Hotel,0,0,0.0,0,Ulsoor,Quick Bites,South Indian,300
Madurai Hotel,0,0,0.0,0,Commercial Street,Quick Bites,South Indian,150
Let's Eat Desi Chinese,0,0,0.0,0,Shanti Nagar,Quick Bites,Asian,300
Spicy Gobi Magic,0,0,0.0,0,Shanti Nagar,Quick Bites,South Indian,150
Crunch Pizzas,1,0,2.5,34,Ulsoor,Quick Bites,Continental,600
K V Canteen,0,0,3.5,17,Commercial Street,Quick Bites,South Indian,100
Cool Joint,0,0,3.6,25,Commercial Street,Quick Bites,Beverages,250
Vyshali Food Corner,0,0,3.6,13,Shanti Nagar,Quick Bites,North Indian,400
Sangam Kabab Corner,0,0,3.1,4,Ulsoor,Quick Bites,Fast Food,300
Hotel Kanchan's Fish & Chicken,0,0,3.3,4,Shivajinagar,Quick Bites,South Indian,250
Kavya Sagar,0,0,2.9,10,Richmond Road,Quick Bites,South Indian,250
Mr. Anbu'g Ambur Biryani,0,0,3.2,4,Richmond Road,Quick Bites,South Indian,300
R S Lunch Home,0,0,3.4,11,Shanti Nagar,Quick Bites,South Indian,300
Sona Chicken Kabab,0,0,3.2,4,Ulsoor,Quick Bites,North Indian,200
Sri Raghavendra Tiffin Center,0,0,0.0,0,Shivajinagar,Quick Bites,South Indian,200
Kalpana Fast Food,0,0,0.0,0,Richmond Road,Quick Bites,Fast Food,150
Sri Udupi Grand,0,0,3.2,9,Shanti Nagar,Quick Bites,South Indian,350
Sri Ganesh Fast Food,0,0,0.0,0,Shanti Nagar,Quick Bites,South Indian,200
New Select Hotel,0,0,3.4,5,Richmond Road,Quick Bites,South Indian,200
Hotel Ashoka,0,0,3.7,10,Shivajinagar,Quick Bites,South Indian,200
Bombay Food Express,0,0,3.7,18,Shanti Nagar,Quick Bites,Fast Food,250
Sagar Chats,0,0,3.8,38,Commercial Street,Quick Bites,Asian,300
Tibbs Frankie,0,0,3.0,22,St. Marks Road,Quick Bites,Fast Food,200
Hotel Vinitha,0,0,3.2,5,Shivajinagar,Quick Bites,South Indian,150
Sultan Shah's Restaurant,0,0,3.2,9,Shivajinagar,Quick Bites,North Indian,200
KUNG FOOD,0,0,0.0,0,Commercial Street,Quick Bites,Asian,400
Sattuani,0,0,3.5,9,St. Marks Road,Quick Bites,East Indian,250
Cafe Mingo?s,0,0,0.0,0,Richmond Road,Quick Bites,Fast Food,200
Ashirwadh Delicacy,0,0,0.0,0,Shanti Nagar,Quick Bites,South Indian,150
Lalbagh Upahara,0,0,0.0,0,Shanti Nagar,Quick Bites,South Indian,100
Hotel Gowda's,0,0,0.0,0,Shanti Nagar,Quick Bites,South Indian,200
K.B.R Fast Food,0,0,0.0,0,Richmond Road,Quick Bites,South Indian,300
Rizq Restaurant,0,0,0.0,0,Richmond Road,Quick Bites,South Indian,150
R.K Biryani & Chinese Fast Food,0,0,0.0,0,Richmond Road,Quick Bites,South Indian,200
Hotel New Mezban,0,0,0.0,0,Richmond Road,Quick Bites,South Indian,250
New A1 Chicken Biryani Point,0,0,3.1,6,Shivajinagar,Quick Bites,South Indian,300
M.R.S Hotel,0,0,0.0,0,Ulsoor,Quick Bites,South Indian,300
Al-Safaa Chinese Fast Food,0,0,0.0,0,Shivajinagar,Quick Bites,Asian,250
Sweet Chariot Cafe,1,0,3.8,113,Residency Road,Dessert,Continental,500
MDP Coffee House,0,0,3.5,13,Commercial Street,Quick Bites,South Indian,200
Bharathi Dosa Camp,0,0,3.2,7,Commercial Street,Quick Bites,South Indian,100
Galaxy 2 Restaurant,0,0,3.2,4,Shivajinagar,Quick Bites,North Indian,400
Kshathriya's Naati Junction,0,0,0.0,0,Richmond Road,Quick Bites,South Indian,250
Skylit - Citrus Hotels,0,1,4.0,323,Cunningham Road,Casual Dining,North Indian,1300
Tijouri,0,1,4.0,70,Race Course Road,Casual Dining,North Indian,2800
Maratha Darshan,0,0,4.0,107,Cunningham Road,Quick Bites,South Indian,400
Chikkanna Tiffin Room,0,0,4.5,203,City Market,Quick Bites,South Indian,150
Swasthaa,0,0,0.0,0,Sanjay Nagar,Casual Dining,Continental,600
SLN Lunch Home,0,0,3.9,26,City Market,Quick Bites,South Indian,100
Fish Factory-Citrus Hotel,0,1,3.9,40,Cunningham Road,Casual Dining,Seafood,2600
Sanman Veg,0,0,3.5,12,Cunningham Road,Quick Bites,South Indian,250
Pai Vihar,0,0,3.2,41,City Market,Quick Bites,South Indian,400
Samrudh Veg,0,0,3.6,10,Cunningham Road,Quick Bites,South Indian,200
The Whiskey Bar,0,1,3.7,43,Race Course Road,Bar,Fast Food,2800
Nostradamus Bar & Lounge,0,0,3.6,14,Cunningham Road,Bar,North Indian,1500
Mallige,0,0,3.2,5,Race Course Road,Casual Dining,North Indian,700
Happie Hippies,0,0,0.0,0,Vasanth Nagar,Quick Bites,Continental,500
Cloud Foods,0,0,0.0,0,HSR,Casual Dining,Continental,600
Malabar Restaurant,0,0,0.0,0,City Market,Casual Dining,North Indian,500
Dosa Mania,0,0,0.0,0,HSR,Quick Bites,South Indian,200
Fortuna Turban Tadka,0,0,0.0,0,Uttarahalli,Quick Bites,Asian,300
Srinidhi Real Food,0,0,3.6,26,Vasanth Nagar,Quick Bites,South Indian,200
Queens Food Corner,0,0,3.1,11,Cunningham Road,Quick Bites,South Indian,200
Ambur Star Dum Biriyani,0,0,3.3,4,Wilson Garden,Quick Bites,South Indian,300
Pizza Stop,1,0,3.9,146,Cunningham Road,Quick Bites,Fast Food,600
M9 - Citrus Hotels,0,0,3.1,10,Cunningham Road,Casual Dining,North Indian,800
Tree Tops Bar & Kitchen,0,1,4.4,108,Lavelle Road,Casual Dining,North Indian,1000
Bang - The Ritz-Carlton,0,1,4.3,474,Residency Road,Casual Dining,Fast Food,3000
Easy Tiger,0,0,4.3,2240,Church Street,Bar,Fast Food,1100
Plan B,0,0,4.2,2020,Shanti Nagar,Casual Dining,Continental,1200
Aqua - The Park Bangalore,0,1,4.0,196,MG Road,Casual Dining,North Indian,3000
Haagen Dazs,1,0,3.9,77,Koramangala 7th Block,Dessert,Cafe,800
Frolic,1,0,3.9,34,Koramangala 7th Block,Dessert,Cafe,200
Bombay Kulfis,1,0,3.9,27,Koramangala 5th Block,Dessert,Cafe,200
Sweet Truth,1,0,4.1,23,Koramangala 6th Block,Delivery/Takeaway,Fast Food,500
Maxpresso,1,0,4.1,323,Koramangala 7th Block,Cafe,Cafe,700
Haji Ali Juice Centre,1,0,4.0,152,Koramangala 5th Block,Quick Bites,Beverages,350
Cookie Man,1,0,4.0,100,Koramangala 7th Block,Dessert,Fast Food,150
Gelato Italiano,1,0,3.9,110,Koramangala 5th Block,Dessert,Cafe,200
Juicy,0,0,3.9,43,Koramangala 5th Block,Quick Bites,Beverages,200
The French Loaf,0,0,3.8,34,Koramangala 5th Block,Quick Bites,Fast Food,400
Lakeview Milkbar,0,0,3.8,286,Koramangala 8th Block,Dessert,Cafe,500
Cake Box,1,0,3.6,97,Koramangala 8th Block,Quick Bites,Fast Food,400
Brownie Heaven,1,0,3.9,16,Koramangala 5th Block,Dessert,Cafe,300
Iyengar's Bakery,0,0,3.5,11,Koramangala 6th Block,Quick Bites,Fast Food,200
Bansuri Sweets,0,0,3.7,73,Koramangala 6th Block,Dessert,East Indian,250
The Spice Bazaar,0,1,4.2,332,Lavelle Road,Casual Dining,North Indian,1000
The Brew Witch Club,0,0,0.0,0,MG Road,Bar,Fast Food,1000
Z-Bar,0,0,0.0,0,Infantry Road,Casual Dining,Fast Food,1500
Roof Top Gastro Bar,0,0,0.0,0,Ulsoor,Bar,Fast Food,2000
Onesta,1,1,4.3,840,Brookefield,Casual Dining,Fast Food,600
Imperio Restaurant,1,1,4.2,767,Brookefield,Casual Dining,North Indian,700
Zaica Dine & Wine,1,1,3.8,818,Brookefield,Casual Dining,North Indian,750
AB's - Absolute Barbecues,0,1,4.8,2882,Whitefield,Casual Dining,Continental,1600
Flechazo,0,1,4.9,2745,Whitefield,Casual Dining,Asian,1400
Ji Hazoor,1,1,4.0,2807,Whitefield,Casual Dining,North Indian,1100
HQ,0,1,4.1,460,Whitefield,Casual Dining,North Indian,1000
The Terrace at Windmills Craftworks,0,0,4.1,450,Whitefield,Casual Dining,North Indian,1800
Mainland China,1,1,4.7,1512,Whitefield,Casual Dining,Asian,1700
Bufferia,0,1,4.0,345,Marathahalli,Casual Dining,Asian,1500
Kava Kitchen & Bar - Fairfield by Marriott,0,0,3.9,69,Whitefield,Casual Dining,North Indian,1200
M Cafe - Bengaluru Marriott Hotel Whitefield,0,1,4.1,821,Whitefield,Casual Dining,North Indian,2500
Barbeque Nation,0,0,3.8,32,Whitefield,Casual Dining,North Indian,1600
The Square Table,1,1,4.2,560,Whitefield,Casual Dining,North Indian,1000
Marigold Fine Dine Restaurant,0,1,4.0,288,Whitefield,Casual Dining,Continental,1500
Tiffin Room - Miraya Hotel & Residences,0,1,3.8,137,Whitefield,Casual Dining,North Indian,2000
Flavours Radha Hometel,0,1,3.5,185,Whitefield,Casual Dining,North Indian,800
The Podium Sports Bar,0,0,3.8,24,Marathahalli,Bar,Fast Food,1200
Bangalore Agarwal Bhavan,0,0,3.0,5,Whitefield,Quick Bites,East Indian,500
Zodiac,0,0,3.6,62,Whitefield,Casual Dining,Continental,1500
Sizzles,0,0,0.0,0,Whitefield,Casual Dining,North Indian,800
M Bar - Bengaluru Marriott Hotel Whitefield,0,0,3.9,75,Whitefield,Casual Dining,Fast Food,2000
Quality Eat,1,0,0.0,0,Whitefield,Casual Dining,South Indian,400
Citrus Cafe - Lemon Tree Hotel,0,0,3.8,118,Whitefield,Casual Dining,North Indian,1900
Afoozoo - Ginger Hotel,0,0,3.5,40,Whitefield,Casual Dining,North Indian,800
Keys Cafe - Keys Hotel,0,0,2.8,161,Whitefield,Casual Dining,Asian,1200
Flavors of India,1,0,3.6,34,Marathahalli,Casual Dining,North Indian,800
The Restaurant,0,0,3.7,23,Marathahalli,Casual Dining,Continental,1200
HIGH SKY,0,0,3.6,32,Whitefield,Casual Dining,Continental,1000
Southern Spice,0,1,3.0,83,Whitefield,Casual Dining,South Indian,1200
Paprica,1,0,2.6,118,Marathahalli,Casual Dining,North Indian,1200
Elements - Mapple Express,0,0,2.9,51,Whitefield,Casual Dining,North Indian,600
Mega Bite,0,1,3.6,54,Whitefield,Casual Dining,North Indian,1100
Breads and Banter,0,1,4.2,65,Brookefield,Cafe,Cafe,400
Chai Galli,1,0,4.2,819,Brookefield,Cafe,Cafe,300
Mugs N Burgers,1,1,4.0,130,Brookefield,Cafe,Cafe,600
Refresh,1,1,3.2,501,Brookefield,Cafe,Cafe,500
Madouk Cafe,0,0,4.0,72,Brookefield,Cafe,Cafe,500
Biggies Burger 'n' More,1,0,4.0,293,Brookefield,Quick Bites,Cafe,650
Chaai Resto,1,0,3.4,6,Brookefield,Cafe,Cafe,200
Cafe Coffee Day,0,0,2.3,30,Brookefield,Cafe,Cafe,900
An Egg Story,0,0,4.1,701,Brookefield,Cafe,Cafe,600
Bloomsbury's Global Kitchen & Bakehouse,1,1,4.5,733,Whitefield,Cafe,Continental,900
Enchanted Garden,1,1,4.3,330,Whitefield,Casual Dining,North Indian,1400
Cafe Palmyra,0,1,4.2,500,Whitefield,Casual Dining,Asian,2000
Cultch Resto Cafe,0,0,3.7,46,Marathahalli,Cafe,Cafe,600
Cafe Thulp,1,0,3.4,54,"ITPL Main Road, Whitefield",Cafe,Cafe,1000
Oregano Soul Food,1,0,4.1,142,Whitefield,Cafe,Cafe,700
Third Wave Coffee Roasters,0,0,0.0,0,Whitefield,Cafe,Cafe,800
The Chocolate Heaven,1,0,3.1,175,Whitefield,Dessert,Cafe,600
Chai Mania,1,0,2.8,67,Marathahalli,Cafe,Cafe,300
Starbucks,0,0,3.9,34,Whitefield,Cafe,Cafe,700
Black Rock Cafe,1,0,3.5,22,Marathahalli,Cafe,Cafe,500
Whitefield Baking Company - Bengaluru Marriott Hotel...,0,0,3.9,57,Whitefield,Quick Bites,Fast Food,400
Cafe Olive,0,0,3.1,14,Marathahalli,Cafe,Cafe,500
Tim Cafe,1,0,3.6,39,Marathahalli,Cafe,Cafe,250
Hodge Podge,1,0,0.0,0,Whitefield,Quick Bites,Cafe,300
Spice Boulevard,0,0,3.9,90,Whitefield,Cafe,Cafe,700
Fashion Knack Cafe,0,0,3.7,18,Whitefield,Cafe,Cafe,250
UBCR,1,0,3.6,9,Marathahalli,Cafe,Continental,1000
Teashot,0,0,2.9,24,Whitefield,Cafe,Cafe,150
Cafe 19,0,0,0.0,0,Marathahalli,Cafe,Cafe,350
FIFA Cafe,0,0,3.2,4,Marathahalli,Cafe,Cafe,500
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Delight,0,0,3.2,40,Marathahalli,Cafe,Cafe,400
Chef Baker's,1,0,3.5,32,Whitefield,Quick Bites,Fast Food,400
Desi Chai,1,0,0.0,0,Marathahalli,Cafe,Cafe,300
Brookefield Cafe,0,0,0.0,0,"ITPL Main Road, Whitefield",Cafe,Cafe,500
REFUEL,1,0,3.7,118,Marathahalli,Delivery/Takeaway,Asian,300
Easy Bites,1,0,4.0,50,"Varthur Main Road, Whitefield",Delivery/Takeaway,Fast Food,300
Polar Bear,1,0,4.5,41,"Varthur Main Road, Whitefield",Delivery/Takeaway,Cafe,300
Punjabites,1,0,3.7,10,"Varthur Main Road, Whitefield",Delivery/Takeaway,North Indian,400
Empire Restaurant,1,0,3.5,156,"Varthur Main Road, Whitefield",Delivery/Takeaway,South Indian,400
Midnight Mania,1,0,3.8,599,Marathahalli,Delivery/Takeaway,Fast Food,700
Buddha Treats,1,0,4.2,351,Brookefield,Casual Dining,Asian,600
Kitchens@Whitefield,1,0,3.4,215,"Varthur Main Road, Whitefield",Delivery/Takeaway,South Indian,400
Bowl N Biryani,1,0,3.4,22,"ITPL Main Road, Whitefield",Quick Bites,South Indian,500
Ooh La La,1,0,3.6,15,Whitefield,Delivery/Takeaway,North Indian,500
Fish Chain,1,0,3.8,78,"Varthur Main Road, Whitefield",Delivery/Takeaway,Seafood,250
Rishitha Restaurant,1,0,3.8,57,Whitefield,Quick Bites,North Indian,500
Night Food Joint,1,0,2.8,295,Marathahalli,Delivery/Takeaway,North Indian,500
KA53,1,0,3.7,22,Whitefield,Quick Bites,North Indian,300
Roti Ghar Ki,1,0,4.0,107,Whitefield,Quick Bites,North Indian,400
Biriyani Section,1,0,0.0,0,Whitefield,Quick Bites,South Indian,300
Starter House,1,0,0.0,0,Whitefield,Quick Bites,Asian,250
Techies Kitchen,1,0,3.6,193,"ITPL Main Road, Whitefield",Delivery/Takeaway,South Indian,400
Karama Restaurant,1,0,3.5,13,"Varthur Main Road, Whitefield",Delivery/Takeaway,Continental,400
S'Mack,1,0,3.5,9,Whitefield,Quick Bites,Fast Food,300
BITEBOX,1,0,4.4,150,Marathahalli,Quick Bites,North Indian,300
Dabba Gosht,1,0,3.2,22,"Varthur Main Road, Whitefield",Delivery/Takeaway,Continental,400
Tandoor Box,1,0,3.5,69,Brookefield,Casual Dining,North Indian,850
Hot Cross Bun,1,0,3.1,8,Marathahalli,Delivery/Takeaway,Fast Food,500
Rayalseema Kitchens,1,0,3.7,36,Marathahalli,Casual Dining,South Indian,700
Nite Out,1,0,3.5,6,Marathahalli,Delivery/Takeaway,North Indian,500
Eatzgreen,1,0,3.8,58,Marathahalli,Quick Bites,South Indian,500
Biryani Day,1,0,3.7,751,Marathahalli,Casual Dining,North Indian,500
Biryani Miya,1,0,3.1,6,Marathahalli,Delivery/Takeaway,South Indian,600
Eatwell Restaurant,1,0,3.0,64,Marathahalli,Quick Bites,North Indian,400
Cafe Coffee Day,1,0,3.6,97,Marathahalli,Cafe,Cafe,650
Frozen Bottle,1,0,3.8,58,Brookefield,Quick Bites,Beverages,400
CakeZone,1,0,3.8,16,"Varthur Main Road, Whitefield",Delivery/Takeaway,Fast Food,200
Indian Aroma Cafe,1,0,2.8,83,Whitefield,Quick Bites,North Indian,300
Biryani Bar,1,0,0.0,0,Whitefield,Delivery/Takeaway,South Indian,300
MRA,1,0,3.5,13,"Varthur Main Road, Whitefield",Delivery/Takeaway,Fast Food,200
Juice Shop,1,0,3.7,17,"Varthur Main Road, Whitefield",Delivery/Takeaway,Cafe,150
Indiana Burgers,1,0,3.5,53,Whitefield,Delivery/Takeaway,Fast Food,300
Kolkata Restaurant,1,0,3.0,19,Marathahalli,Delivery/Takeaway,North Indian,250
The Hyderabad Chefs,1,0,2.8,64,Whitefield,Delivery/Takeaway,North Indian,600
Dehati Murgee,1,0,4.0,151,Whitefield,Quick Bites,North Indian,600
Refresh,1,0,3.6,297,Whitefield,Quick Bites,Continental,400
MealsTree,1,0,3.6,162,Marathahalli,Delivery/Takeaway,North Indian,400
Shaadab,1,0,0.0,0,Whitefield,Delivery/Takeaway,North Indian,700
Hyderabadi Biryani Hub,1,0,2.9,102,Marathahalli,Casual Dining,South Indian,600
Treatley,1,0,3.3,405,Whitefield,Delivery/Takeaway,North Indian,500
Vegetarea,1,0,3.9,13,"Varthur Main Road, Whitefield",Delivery/Takeaway,South Indian,250
Food Mingo,1,0,3.0,4,Marathahalli,Quick Bites,North Indian,450
Paratha Point,1,0,0.0,0,"ITPL Main Road, Whitefield",Quick Bites,North Indian,250
Game Of Tandoors,1,0,3.7,241,Marathahalli,Quick Bites,North Indian,400
Mojo Pizza - 2X Toppings,1,0,4.3,200,"ITPL Main Road, Whitefield",Delivery/Takeaway,Fast Food,600
Yo! Chow,1,1,4.4,1777,Marathahalli,Casual Dining,Asian,800
Kanti Sweets,1,0,4.2,218,Brookefield,Dessert,East Indian,400
Pizza Baker's,1,0,3.0,15,Marathahalli,Quick Bites,Fast Food,450
Food Zone,1,0,3.4,308,Marathahalli,Quick Bites,North Indian,300
Jhanhavi Restaurant,1,0,3.1,105,Marathahalli,Quick Bites,North Indian,400
Banana Leaf,1,0,2.9,15,Marathahalli,Delivery/Takeaway,North Indian,600
Udupi Grand Veg,1,0,3.0,208,Marathahalli,Quick Bites,South Indian,450
Village Restaurant,1,0,3.5,338,Marathahalli,Casual Dining,Continental,1000
Bawarchi Restaurant,1,0,0.0,0,Whitefield,Unknown,South Indian,400
Take It!,1,0,3.1,39,Marathahalli,Delivery/Takeaway,Continental,450
Biryani Factory,1,0,3.0,11,Whitefield,Delivery/Takeaway,South Indian,400
Chinese Chaska,1,0,3.1,125,Whitefield,Casual Dining,Asian,550
The Bahubali,1,1,3.5,151,Marathahalli,Casual Dining,North Indian,800
Alpha - House of Biryani & Tandoor,1,0,3.3,387,Whitefield,Casual Dining,South Indian,800
Tanuja Home Food,1,0,3.1,18,Whitefield,Delivery/Takeaway,North Indian,300
Combo Biriyani,1,0,2.9,6,Whitefield,Delivery/Takeaway,South Indian,400
Dilli Darbar,1,0,3.4,372,Whitefield,Casual Dining,North Indian,500
Lila Kitchen,1,0,2.9,8,Whitefield,Delivery/Takeaway,North Indian,500
Hyderabad Dawat,1,0,3.2,30,Marathahalli,Casual Dining,South Indian,650
Noodle Oodle,1,0,3.6,9,Whitefield,Delivery/Takeaway,Unknown,400
McDonald's,1,0,3.0,394,Brookefield,Quick Bites,Fast Food,500
Mealer.in,1,0,3.8,9,Marathahalli,Delivery/Takeaway,North Indian,450
Indian Food,1,0,0.0,0,Marathahalli,Quick Bites,North Indian,200
Handi Biryani,1,0,3.9,84,Marathahalli,Quick Bites,South Indian,300
Happy Eat,1,0,3.3,86,Marathahalli,Quick Bites,South Indian,300
Delight food,1,0,0.0,0,Marathahalli,Quick Bites,North Indian,250
Northern Tadka,1,0,0.0,0,Whitefield,Delivery/Takeaway,North Indian,400
Punjab Di Rasoi,1,0,0.0,0,Whitefield,Quick Bites,North Indian,400
Food Mood,1,0,3.7,52,Whitefield,Delivery/Takeaway,North Indian,350
Taste of Chettinad,1,0,0.0,0,Whitefield,Delivery/Takeaway,Unknown,400
InnerChef,1,0,3.7,175,Whitefield,Delivery/Takeaway,North Indian,500
Dock Frost'd,1,0,4.6,110,Marathahalli,Quick Bites,Beverages,400
Tandoori Junction,1,0,3.9,81,Marathahalli,Quick Bites,North Indian,400
Dil Punjabi,1,0,2.6,158,Marathahalli,Quick Bites,North Indian,300
Kerala Tiffin,1,0,3.9,162,Whitefield,Delivery/Takeaway,South Indian,300
Mahek of Punjab,1,0,2.7,75,Marathahalli,Quick Bites,North Indian,400
Punjabi Phulka,1,0,2.8,67,Marathahalli,Quick Bites,North Indian,500
Parivar Eat House,1,0,0.0,0,Whitefield,Delivery/Takeaway,North Indian,500
The Bawarchi,1,0,2.6,329,Marathahalli,Casual Dining,South Indian,700
Eat Eroo - Bombay Vada Pav,1,0,4.0,306,Marathahalli,Quick Bites,Fast Food,150
Damodar Seth,1,0,3.1,152,Marathahalli,Casual Dining,North Indian,600
Donne Biryani Mane,1,0,3.2,31,Whitefield,Quick Bites,South Indian,300
Five Star Chicken,1,0,3.5,11,Marathahalli,Quick Bites,Fast Food,200
Andhra Taste,1,0,0.0,0,Whitefield,Delivery/Takeaway,South Indian,400
Kitchen Rabbit,1,0,3.6,18,Whitefield,Quick Bites,North Indian,500
BOX8- Desi Meals,1,0,4.2,78,Whitefield,Delivery/Takeaway,North Indian,500
Ande Ka Funda,1,0,3.3,225,Marathahalli,Quick Bites,North Indian,250
Satakarni,1,0,3.1,216,Marathahalli,Casual Dining,Asian,650
Lassi Corner,1,0,3.3,68,Marathahalli,Quick Bites,Beverages,250
Orbis Restaurant,1,1,3.9,1117,Whitefield,Casual Dining,Continental,750
Domino's Pizza,1,0,3.0,458,Brookefield,Quick Bites,Fast Food,800
